Year	val
1979	0.323333333
1980	1.196666667
1981	-0.223333333
1982	2.07
1983	1.696666667
1984	-0.53
1985	-0.996666667
1986	0.353333333
1987	-0.13
1988	2.996666667
1989	2.126666667
1990	0.73
1991	1.686666667
1992	1.41
1993	1.173333333
1994	2.896666667
1995	-2.24
1996	-0.463333333
1997	0.653333333
1998	1.55
1999	2.283333333
2000	-0.44
2001	1.023333333
2002	0.17
2003	-0.626666667
2004	0.28
2005	0.11
2006	1.756666667
2007	1.7
2008	-0.466666667
2009	-3.116666667
2010	-1.07
2011	2.15
2012	0.473333333
