	val
1.98E+03	2.79E+02
1.98E+03	2.78E+02
1.98E+03	2.77E+02
1.98E+03	2.78E+02
1.98E+03	2.78E+02
1.98E+03	2.77E+02
1.99E+03	2.77E+02
1.99E+03	2.77E+02
1.99E+03	2.79E+02
1.99E+03	2.80E+02
1.99E+03	2.80E+02
1.99E+03	2.77E+02
1.99E+03	2.78E+02
1.99E+03	2.79E+02
1.99E+03	2.79E+02
1.99E+03	2.80E+02
2.00E+03	2.77E+02
2.00E+03	2.78E+02
2.00E+03	2.80E+02
2.00E+03	2.79E+02
2.00E+03	2.79E+02
2.00E+03	2.79E+02
2.00E+03	2.80E+02
2.00E+03	2.79E+02
2.00E+03	2.79E+02
2.00E+03	2.79E+02
2.01E+03	2.78E+02
2.01E+03	2.80E+02
2.01E+03	2.80E+02
2.01E+03	2.78E+02
2.01E+03	2.77E+02
2.01E+03	2.78E+02
2.01E+03	2.79E+02
2.01E+03	2.78E+02
