	val
1.98E+03	2.08E+00
1.98E+03	2.43E+00
1.98E+03	2.14E+00
1.98E+03	2.79E+00
1.98E+03	2.58E+00
1.98E+03	2.39E+00
1.99E+03	2.66E+00
1.99E+03	2.38E+00
1.99E+03	2.56E+00
1.99E+03	2.32E+00
1.99E+03	2.47E+00
1.99E+03	2.49E+00
1.99E+03	2.24E+00
1.99E+03	2.29E+00
1.99E+03	2.47E+00
1.99E+03	2.65E+00
2.00E+03	2.24E+00
2.00E+03	2.38E+00
2.00E+03	2.62E+00
2.00E+03	2.52E+00
2.00E+03	2.63E+00
2.00E+03	2.34E+00
2.00E+03	2.63E+00
2.00E+03	2.43E+00
2.00E+03	2.59E+00
2.00E+03	2.63E+00
2.01E+03	2.51E+00
2.01E+03	2.48E+00
2.01E+03	2.68E+00
2.01E+03	2.22E+00
2.01E+03	2.20E+00
2.01E+03	2.04E+00
2.01E+03	2.97E+00
2.01E+03	2.61E+00
