	val
1.98E+03	6.90E+00
1.98E+03	7.46E+00
1.98E+03	6.73E+00
1.98E+03	8.09E+00
1.98E+03	7.94E+00
1.98E+03	6.47E+00
1.99E+03	8.08E+00
1.99E+03	7.10E+00
1.99E+03	7.74E+00
1.99E+03	7.07E+00
1.99E+03	8.51E+00
1.99E+03	7.05E+00
1.99E+03	6.10E+00
1.99E+03	6.89E+00
1.99E+03	7.77E+00
1.99E+03	8.54E+00
2.00E+03	6.86E+00
2.00E+03	6.91E+00
2.00E+03	7.38E+00
2.00E+03	7.70E+00
2.00E+03	7.97E+00
2.00E+03	6.94E+00
2.00E+03	7.88E+00
2.00E+03	6.85E+00
2.00E+03	7.27E+00
2.00E+03	7.32E+00
2.01E+03	6.51E+00
2.01E+03	7.74E+00
2.01E+03	7.53E+00
2.01E+03	6.15E+00
2.01E+03	6.34E+00
2.01E+03	6.48E+00
2.01E+03	7.41E+00
2.01E+03	6.96E+00
